"Name","Average.User.Rating","User.Rating.Count","Price","Developer","Age.Rating","Languages","Size","Primary.Genre","Genres"
"99","AirTycoon - Airline Management",3.5,3416,0,"TRADEGAME Lab Inc.","4+","EN",8646161,"Games","Games, Strategy, Role Playing, Entertainment"
"100","Jungle Crash Land",3.5,67670,0.99,"Donut Games","4+","EN",7703552,"Games","Games, Strategy, Action"
"101","PortOfCallL",2.5,634,0,"Dipl.-Ing. Rolf-Dieter Klein","4+","DA, NL, EN, FI, FR, DE, IT, NO, PT, ES, SV",3396500,"Games","Games, Strategy, Simulation"
"102","\"Swap 'n Drop\"",3,282,2.99,"CH4 Productions","4+","EN",4225024,"Games","Games, Puzzle, Strategy"
"103","Boxed In",3.5,93235,0.99,"Dennis Mengelt","4+","EN",259371008,"Games","Games, Strategy, Entertainment, Puzzle"
"104","SmartGo Player",4,569,2.99,"Smart Go, Inc.","4+","EN, FR, DE, JA, KO, RU, ZH, ES, ZH",23805952,"Games","Games, Entertainment, Board, Strategy"
"105","Big 2 Classic",3.5,127,2.99,"38 Softworks Inc.","4+","EN, ZH, ZH",3684352,"Games","Games, Strategy, Card, Entertainment"
"106","\"Sally's Spa Lite\"",4,193923,0,"Games Cafe Inc.","4+","EN, FR, DE, IT, ES",233482240,"Games","Games, Action, Entertainment, Strategy"
"107","TowerMadness",4,42389,2.99,"Limbic Software","9+","EN, DE",56048640,"Games","Games, Strategy, Puzzle"
"108","Chinese Chess Master",3.5,207,3.99,"PPCLINK Software","4+","EN",23740416,"Games","Games, Entertainment, Strategy, Board"
"109","Block Off",3,16554,0,"Elements of Design LLC","4+","EN",6338617,"Games","Games, Puzzle, Strategy, Entertainment"
"110","UAV Fighter Free",3,6906,0,"Entertaining Games, Inc.","12+","EN",12120793,"Games","Games, Strategy, Simulation, Entertainment"
"111","WORP - Next Gen Solitaire Puzzle",3,9,1.99,"Maximilian Auer","4+","EN, DE",20501504,"Games","Games, Board, Entertainment, Strategy"
"112","Bubble Buster",3.5,2110,0,"North Sky Games","4+","EN",76698624,"Games","Games, Board, Strategy, Entertainment"
"113","Age of Conquest: Europe",3.5,267,3.99,"Noble Master LLC","12+","EN",39074816,"Entertainment","Entertainment, Games, Board, Strategy"
"114","Backgammon!",2,704,0,"osnine","4+","EN",413902,"Games","Games, Entertainment, Strategy, Board"
"115","Crush the Castle",3.5,23854,0.99,"Armor Games Inc","12+","EN",44707840,"Games","Games, Adventure, Strategy"
"116","PopGroup",3,847,0.99,"Tom Kerrigan","4+","EN",995328,"Games","Games, Board, Strategy, Entertainment"
"117","PopGroup Lite",3,233,0,"Tom Kerrigan","4+","EN",761856,"Games","Games, Entertainment, Board, Strategy"
"118","TapSquares",3,5,0.99,"Bubble Pop Software","4+","EN",2137088,"Games","Games, Strategy, Entertainment, Puzzle"
"119","Chess",4.5,14864,0,"Vintolo Ltd","4+","EN",47129600,"Games","Games, Strategy, Board, Entertainment"
"120","TOTL",2.5,43,0,"Robert Urschel","4+","EN",41591808,"Games","Games, Entertainment, Strategy, Puzzle"
"121","Tic-Tac-Toe Arena",1.5,8,1.99,"RookSoft Ltd.","4+","EN",82583552,"Games","Games, Entertainment, Strategy, Board"
"122","4_IN_1_ROW_Lite",2.5,3593,0,"AOBO Co.,Ltd","4+","EN, JA, ZH",7750656,"Games","Games, Board, Strategy, Entertainment"
"123","Tournament Checkers Free",3,344,0,"Futrell Software","4+","EN",4578541,"Games","Games, Entertainment, Strategy, Board"
"124","Checkers",4.5,36581,0,"Vintolo Ltd","4+","EN",69393408,"Games","Games, Entertainment, Board, Strategy"
"125","Checkers",4.5,36581,0,"Vintolo Ltd","4+","EN",69393408,"Games","Games, Entertainment, Board, Strategy"
"126","Pipe Mania",3,302,0,"Virtual Programming Ltd","4+","EN",85569536,"Games","Games, Strategy, Puzzle"
"127","WORMS",4,5778,1.99,"Team17 Software Ltd","12+","EN",253834240,"Games","Games, Action, Entertainment, Strategy"
"128","Pixel Starships\u2122",4.5,27739,0,"Savy Soda","9+","AR, CS, NL, EN, FR, DE, ID, IT, JA, KO, PL, PT, RU, ZH, ES, SV, TH, ZH, TR, VI",104436736,"Games","Games, Entertainment, Strategy, Role Playing"
"129","PUSHY",4,163,1.99,"medienwerkstatt","4+","EN, FR, DE",83070976,"Games","Games, Puzzle, Strategy, Education"
"130","Traffic Rush",3.5,212763,0.99,"Donut Games","9+","EN",9466880,"Games","Games, Strategy, Action"
"131","Traffic Control!",3,24,0,"Jon Davis","4+","EN",4474837,"Games","Games, Entertainment, Puzzle, Strategy"
"132","Sudoku Infinite",3.5,166,0,"Ludovic Landry","4+","EN, FR, JA, ES",10318615,"Games","Games, Strategy, Education, Casual"
"133","Cartoon Wars",3.5,35905,0.99,"BLUE","12+","EN",13216994,"Games","Games, Role Playing, Strategy"
"134","Hexxagon",2.5,268,0.99,"Aleksejs Voloviks","4+","EN",5334016,"Games","Games, Strategy, Board, Entertainment"
"135","Big Deuce - Big 2 Classic",3,942,0,"38 Softworks Inc.","4+","EN, ZH, ZH",18093056,"Games","Games, Strategy, Card, Entertainment"
"136","Archmage Defense Lite",3.5,3135,0,"Nerv Technology","9+","EN",9205022,"Games","Games, Strategy, Action, Entertainment"
"137","Orbital",4,1435,2.99,"bitforge Ltd","4+","EN, FR, DE, IT, ES",22335488,"Games","Games, Puzzle, Strategy, Entertainment"
"138","Tic Tac Toe: World Challenge",3,680,0,"DigitalFun","4+","EN, IT, ES",4481024,"Games","Games, Entertainment, Board, Strategy"
"139","Stock Wars - Virtual Investing",3.5,3015,0,"Continuous Integration Inc.","4+","EN",10139648,"Finance","Finance, Simulation, Games, Strategy"
"140","Sudoku Deluxe\xae",4.5,688,0,"Mobile Deluxe","4+","EN",70557696,"Games","Games, Travel, Strategy, Word"
"141","Block Drop\xae",4,113,0.99,"Freecloud Design, Inc.","4+","EN",48675840,"Games","Games, Strategy, Entertainment, Puzzle"
"142","All American Girls Concentration Memory Game",2,291,0.99,"No Tie, LLC","17+","EN",9900032,"Games","Games, Entertainment, Strategy, Board"
"143","Phoenix Emperor 50 Marks",4.5,62,0,"Codxp, Inc","12+","EN",22518784,"Games","Games, Adventure, Strategy"
"144","Cleopatra\xae",3.5,1054,0,"IGT","12+","EN",5085584,"Games","Games, Strategy, Entertainment, Casino"
"145","Bored",3.5,9,0,"Patrick Q. Kelly","4+","EN",16440320,"Games","Games, Puzzle, Strategy, Entertainment"
"146","Orient Express: The Train Simulator",3,657,0,"AppMania","4+","EN, FR, DE, IT, RU",25035776,"Games","Games, Entertainment, Simulation, Strategy"
"147","Icy Escort",3,47338,0.99,"Donut Games","4+","EN",9214976,"Games","Games, Family, Strategy"
"148","Alice Greenfingers",3.5,1979,0.99,"Donut Games","4+","EN",9659320,"Games","Games, Strategy, Simulation, Entertainment"
"149","Space Control",2.5,654,0.99,"Aleksejs Voloviks","4+","EN",13483008,"Games","Games, Entertainment, Strategy, Casual"
"150","HIARCS Chess",4,213,9.99,"Applied Computer Concepts Ltd.","4+","EN, DE",22864896,"Games","Games, Board, Education, Strategy"
"151","Mobile Aquarium",3,15277,0,"TLogic.de","4+","EN",8482816,"Games","Games, Simulation, Entertainment, Strategy"
"152","PUSHY lite",3.5,776,0,"medienwerkstatt","4+","EN, FR, DE",64505856,"Games","Games, Education, Puzzle, Strategy"
"153","Ancient War",3.5,5378,0,"Triniti Interactive Limited","12+","EN",15120306,"Games","Games, Strategy, Entertainment, Action"
"154","Backgammon NJ",4,2567,4.99,"Jimmy Hu","4+","EN",21422080,"Games","Games, Board, Entertainment, Strategy"
"155","Pebble Command",2.5,29,0,"Pavlos Tsochantaris","4+","EN",35214336,"Games","Games, Entertainment, Strategy, Action"
"156","Yahoo Fantasy Football & more",3.5,199585,0,"Yahoo","17+","AR, BN, BG, CA, HR, CS, DA, NL, EN, ET, FI, FR, DE, EL, GU, HE, HI, HU, ID, GA, IT, JA, KN, KO, LV, LT, MS, ML, MR, NB, PL, PT, RO, RU, SR, ZH, SK, SL, ES, SV, TA, TE, TH, ZH, TR, UK, UR, VI",145777664,"Sports","Sports, Games, Sports, Strategy"
"157","Chess - Play & Learn",4.5,143719,0,"Chess.com","4+","AF, SQ, AR, HY, AZ, EU, BE, BN, BS, BG, CA, HR, CS, DA, NL, EN, ET, FI, FR, GL, KA, DE, EL, HE, HI, HU, IS, ID, GA, IT, JA, KN, KK, KO, LV, LT, MK, MS, NE, NB, PS, FA, PL, PT, PA, RO, RU, SR, ZH, SI, SK, SL, ES, SW, SV, TG, TA, TE, TH, ZH, TR, TK, UK, UR, UZ, VI",109671424,"Games","Games, Strategy, Board, Entertainment"
"158","DodgeDot",3,4289,0,"Jampaq, Inc.","4+","EN",24214528,"Games","Games, Entertainment, Strategy, Casual"
"159","Mummy: Tomb of the Lost Souls FREE",3,178,0,"Richard Nguyen","4+","EN",11965728,"Games","Games, Entertainment, Strategy, Puzzle"
"160","Cannon Siege",3,694,0,"Chad Towns","12+","EN",7587880,"Games","Games, Casual, Strategy, Entertainment"
"161","Slideswipe",5,6,0.99,"Plannerhead","4+","EN, FR, DE, IT, ES",19798016,"Games","Games, Education, Strategy"
"162","Cows In Space",3,46861,0.99,"Donut Games","4+","EN",8752128,"Games","Games, Strategy, Family"
"163","Fare City: Taxi Mania",3.5,1639,0.99,"Finkly Interactive","4+","EN",35438592,"Games","Games, Strategy, Family"
"164","Cartoon Wars Lite",4,148144,0,"BLUE","12+","EN",12429966,"Games","Games, Adventure, Strategy"
"165","Bloons TD",4,7950,2.99,"Ninja Kiwi","4+","EN",8432232,"Games","Games, Strategy, Casual"
"166","IpickMega",4.06090464224309,3306.53127893136,0.99,"Avruk, LLC","4+","EN",1612800,"Entertainment","Entertainment, Casino, Games, Strategy"
"167","Igowin Tutor",3.5,517,0,"Smart Games","4+","EN",22585344,"Games","Games, Strategy, Board"
"168","MILLIONAIRE TYCOON\u2122",3.5,4049,0.99,"Savy Soda","4+","ZH, EN, FR, IT, JA, KO, PT, RU",49016832,"Games","Games, Board, Business, Strategy"
"169","Tic Tac Toe 3-in-a-row",3,345,0,"Courtney & Company","4+","EN",5614592,"Games","Games, Board, Strategy, Entertainment"
"170","Chain Rxn Free",3.5,7499,0,"Zwigglers Mobile","4+","EN",1978912,"Games","Games, Strategy"
"171","Trump It",1.5,18,0,"Added Entertainment Ltd","4+","EN",75976704,"Entertainment","Entertainment, Card, Games, Strategy"
"172","Titanic Rescue",3,38008,0.99,"Donut Games","4+","EN",7494656,"Games","Games, Family, Strategy"
"173","Ninja TD Lite",3.5,3650,0,"Crazy Carpenter","4+","EN",16141677,"Games","Games, Strategy, Action"
"174","Naval Fight",2.5,1604,0,"Steve Tranby","4+","",7075285,"Games","Games, Board, Strategy, Entertainment"
"175","MILLIONAIRE TYCOON\u2122 : Free Realestate Trading Strategy Board Game",3,17680,0,"Savy Soda","4+","ZH, EN, FR, IT, JA, KO, PT, RU",52412416,"Games","Games, Entertainment, Strategy, Board"
"176","Chicken Chess",3.5,7,0,"Vaibhav Electronics Pvt Ltd","4+","EN",9431040,"Games","Games, Strategy, Board, Entertainment"
"177","Earth Alliance: Earth Defense",4.06090464224309,3306.53127893136,0,"Nebula Softworlds","9+","EN",67878912,"Games","Games, Entertainment, Strategy, Simulation"
"178","Gypsy Cards",3,166,0,"Evermagica","9+","EN",16702740,"Games","Games, Entertainment, Card, Strategy"
"179","Missile Pod Launcher",2,868,0,"Belprog Belprog","12+","EN",15370240,"Entertainment","Entertainment, Games, Strategy, Casual"
"180","Stone Wars",3.5,10785,0,"EpicForce Entertainment Ltd.","12+","EN, FR, DE, JA, ES",52757132,"Games","Games, Action, Entertainment, Strategy"
"181","Catan Classic",4,17440,4.99,"USM","4+","NL, EN, FR, DE, PT, ES",888494080,"Games","Games, Board, Strategy, Entertainment"
"182","Solve Sudoku FREE",2.5,234,0,"Procypher Software Co.","4+","EN",1098368,"Games","Games, Puzzle, Strategy"
"183","TowerMadness Zero",4,95466,0,"Limbic Software","9+","EN, DE",58547200,"Games","Games, Puzzle, Strategy"
"184","Vikings\u2122 Free",2.5,295,0,"Entertaining Games, Inc.","9+","EN",5336201,"Games","Games, Entertainment, Strategy, Role Playing"
"185","Galaxy Trek",4,178,0.99,"George Dimidik","4+","EN",9961472,"Games","Games, Strategy, Role Playing"
"186","King of Dragon Pass",5,960,9.99,"A Sharp, LLC","12+","EN",364954624,"Games","Games, Entertainment, Strategy, Role Playing"
"187","Bad Apples",3,3284,0,"Metaversal Studios","4+","EN",34713600,"Games","Games, Puzzle, Strategy"
"188","Sudoku Scrapbook",4,63,2.99,"Mighty Mighty Good Games","4+","DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",27623424,"Games","Games, Strategy, Puzzle"
"189","Handgun FREE",2,849,0,"Belprog Belprog","17+","EN",16375808,"Entertainment","Entertainment, Action, Strategy, Games"
